"wavelength","k"
663.53,51616.203894017
663.97,53910.6468851601
664.42,49670.6902350611
664.86,52448.708845622
665.31,50896.1470906984
665.75,51443.5890728353
666.2,50619.7914720281
666.65,50869.0907731978
667.09,52953.7725625023
667.54,52895.5491610299
667.98,52398.5201240704
668.43,51718.7114615643
668.87,54060.4282671251
669.32,49891.1394297246
669.76,51642.5501700362
670.21,49915.0192458612
670.65,50325.9090399492
671.1,49610.4861915617
671.54,50784.9321723532
671.99,48966.3664561456
672.43,49323.6294330879
672.88,49713.8159124033
673.32,49487.1258268246
673.77,48569.9764565193
674.21,49141.4103666057
674.66,47652.8644568183
675.1,45591.2777009604
675.55,47563.7729362084
675.99,45140.1023954557
676.44,45386.6736425128
676.88,44691.430920438
677.33,44701.74520722
677.77,43788.8934564072
678.22,42752.6813408573
678.66,41997.8325049516
679.11,40966.9643858141
679.55,39476.8115400426
679.99,39123.21088232
680.44,38160.7309690198
680.88,37230.0160693598
681.33,35783.3999775776
681.77,34642.9238760791
682.22,34263.9112074442
682.66,33165.7012593894
683.11,31714.040136029
683.55,30748.8695392204
683.99,29474.7561568071
684.44,28458.350461527
684.88,27496.9169251467
685.33,26246.5338764528
685.77,25354.9833700811
686.21,24395.8668111663
686.66,23270.1894689637
687.1,22341.6046937479
687.55,21413.543106992
687.99,20424.380582234
688.44,19667.5884749056
688.88,18681.9387869502
689.32,17897.5298030569
689.77,17096.4909002578
690.21,16369.7447587727
690.65,15592.809895736
691.1,14849.9943944094
691.54,14242.3483687731
691.99,13565.8283194439
692.43,12913.8607571284
692.87,12345.2670129676
693.32,11791.7336223327
693.76,11175.04391046
694.2,10613.7748047386
694.65,10138.8317949101
695.09,9675.36156059644
695.53,9141.97092566987
695.98,8774.87947980119
696.42,8290.22011285922
696.86,7922.60547853059
697.31,7530.99891625247
697.75,7166.63552449643
698.19,6807.2050525057
698.64,6504.4284166075
699.08,6215.06782764677
699.52,5977.09181957472
699.97,5652.34126835831
700.41,5440.52468328413
700.85,5174.93179864718
701.3,4877.12545311858
701.74,4709.89199895362
702.18,4392.95190403229
702.63,4320.22870809821
703.07,4056.16801823686
703.51,3814.56706154938
703.96,3708.92036324227
704.4,3561.53069995142
704.84,3290.22011285922
705.28,3208.30374827161
705.73,3038.71594603685
706.17,2911.3569266415
706.61,2766.77005867185
707.06,2688.32916028252
707.5,2542.65854478867
707.94,2405.88213311409
708.38,2320.82663776673
708.83,2228.89495123136
709.27,2139.50446578721
709.71,2070.10725363429
710.15,1926.26779775029
710.6,1872.64098060466
711.04,1788.37026794723
711.48,1705.74386187825
711.92,1671.69924137673
712.37,1571.50865129489
712.81,1521.54415336896
713.25,1421.24145147427
713.69,1395.97892297918
714.13,1311.11028065324
714.58,1244.10478717441
715.02,1231.95934078254
715.46,1181.84536043948
715.9,1176.12765798423
716.35,1134.98262266901
716.79,1048.54441496319
717.23,1003.69968982398
717.67,1023.99192794947
718.11,905.863447811951
718.56,925.370903247505
719,927.426286483053
719.44,836.354123846182
719.88,807.91509398707
720.32,813.445943420905
720.76,792.966852274001
721.21,798.834037146381
721.65,751.597593333084
722.09,700.437236070107
722.53,727.605665383609
722.97,694.644792406294
723.41,673.717254007997
723.86,622.183190702194
724.3,644.306588437535
724.74,597.518591875631
725.18,592.361448484622
725.62,611.719421503046
726.06,565.305130983968
726.5,522.029971224635
726.95,562.278112037072
727.39,521.207817930416
727.83,542.95750962293
728.27,487.574274076012
728.71,477.185246085429
729.15,524.9075077544
729.59,505.325311110281
730.03,540.790014574536
730.48,459.023132404051
730.92,437.04921708584
731.36,454.800254120109
731.8,426.69755969954
732.24,377.218879629283
732.68,410.105011398034
733.12,391.793415299525
733.56,423.072611084121
734,416.943831981763
734.44,459.807915093987
734.89,407.713292723943
735.33,359.318360177884
735.77,348.181920101648
736.21,379.535857094809
736.65,369.296311521357
737.09,333.271048992862
